年份,区块,AUC,AUC_FILL,Vmax,Tpeak,UpSlope,DnSlope,FWHM,DL_vb,DL_va,DL_m1,DL_m2,DL_s1,DL_s2,SeasonLen,T,P,S,Y,AUC_T,AUC_P,Vmax_T,FWHM_P,T2,P2,HDD,CDD,B_A1,B_A10,B_A2,B_A3,B_A4,B_A5,B_A6,B_A7,B_A8,B_A9
2011,A1,152.16,87.595,2.001,110.0,0.034759999999999985,-0.008050000000000009,90.0,0.21618496323138964,1.9162626604165427,85.81847416008344,179.99999999999997,10.297782676955043,29.999999999999996,94.18152583991653,12.1,123,653,554,1841.136,18715.68,24.2121,11070.0,146.41,15129,0.0,0.0,True,False,False,False,False,False,False,False,False,False
2011,A10,239.86999999999998,140.69,3.022,110.0,0.056545714285714276,-0.01533928571428571,90.0,0.22578427657196443,3.1737966203213186,85.67921233240598,179.97489264954717,9.360278753737944,29.999999999999996,94.29568031714119,14.9,172,764,728,3574.0629999999996,41257.64,45.0278,15480.0,222.01000000000002,29584,0.0,0.0,False,True,False,False,False,False,False,False,False,False
2011,A2,171.68,99.89,2.312,120.0,0.034489285714285695,-0.01932000000000001,90.0,-0.2538088293217231,3.1119862488496155,82.39822609221537,169.80786385713333,15.139888554174489,29.999999999999996,87.40963776491796,12.3,122,717,580,2111.664,20944.96,28.4376,10980.0,151.29000000000002,14884,0.0,0.0,False,False,True,False,False,False,False,False,False,False
2011,A3,205.38,121.14499999999998,2.826,110.0,0.04569428571428569,-0.014007142857142853,90.0,0.7013941013027344,2.208572502677816,92.47258597842124,171.31627712741454,5.52627966299668,29.999999999999996,78.8436911489933,13.2,126,706,665,2711.0159999999996,25877.88,37.3032,11340.0,174.23999999999998,15876,0.0,0.0,False,False,False,True,False,False,False,False,False,False
2011,A4,211.91000000000003,123.715,2.873,120.0,0.043767857142857094,-0.02014285714285717,90.0,0.20154066980464502,2.7334850325374584,86.00485341628173,175.33709931539485,10.027650356939214,23.466024858616358,89.33224589911312,13.1,124,693,709,2776.021,26276.840000000004,37.6363,11160.0,171.60999999999999,15376,0.0,0.0,False,False,False,False,True,False,False,False,False,False
2011,A5,210.525,127.0,2.837,120.0,0.04485714285714281,-0.023762857142857165,90.0,0.5979570156990387,3.2944433437660794,92.53353446972866,146.54717679265687,9.005577083824532,29.999999999999215,54.013642322928206,13.0,137,717,642,2736.8250000000003,28841.925,36.881,12330.0,169.0,18769,0.0,0.0,False,False,False,False,False,True,False,False,False,False
2011,A6,215.285,125.725,2.642,110.0,0.04400571428571426,-0.016349999999999993,90.0,0.6570783033749686,1.929425182912711,88.90434353339971,167.79788021229407,5.834598532449892,7.951910181942656,78.89353667889436,13.1,151,726,655,2820.2335,32508.035,34.6102,13590.0,171.60999999999999,22801,0.0,0.0,False,False,False,False,False,False,True,False,False,False
2011,A7,234.075,133.155,2.915,120.0,0.04235357142857139,-0.020197142857142886,90.0,0.26787403115110214,3.2519676664855877,86.76757379894251,168.2449380186462,12.979595644036092,26.811107455403942,81.47736421970369,13.9,145,759,596,3253.6425,33940.875,40.5185,13050.0,193.21,21025,0.0,0.0,False,False,False,False,False,False,False,True,False,False
2011,A8,241.08,143.17000000000002,3.172,110.0,0.05599999999999998,-0.02297857142857142,90.0,-0.043191503657782966,4.591711659831871,87.72750268817128,157.2583692478677,14.559881661003132,29.99999999999925,69.53086655969642,14.2,151,756,664,3423.336,36403.08,45.0424,13590.0,201.64,22801,0.0,0.0,False,False,False,False,False,False,False,False,True,False
2011,A9,237.225,141.625,3.07,120.0,0.04998214285714281,-0.025500000000000033,90.0,0.32085926868188724,3.7918021389991514,88.74880670536236,156.4552136163029,10.814464944361449,29.999999999999996,67.70640691094054,14.5,164,756,731,3439.7625,38904.9,44.515,14760.0,210.25,26896,0.0,0.0,False,False,False,False,False,False,False,False,False,True
