年份,区块,plant,intensity,yhat,yact,profit
2026,A1,0,0.0,690.6412485768427,0.0,0.0
2026,A2,0,0.0,686.8825774334051,0.0,0.0
2026,A3,1,1.1,747.3731018487442,822.11,1321.91
2026,A4,0,0.0,756.9191803005994,0.0,0.0
2026,A5,0,0.0,786.0801838739983,0.0,0.0
2026,A6,1,1.12,796.6638096103065,892.26,1462.34
2026,A7,1,1.0,800.0,800.0,1560.0
2026,A8,1,1.0,798.3210615925684,798.32,1435.3
2026,A9,1,1.15,800.0,920.0,1551.0
2026,A10,1,1.0,800.0,800.0,1390.0
2027,A1,0,0.0,684.1080467909009,0.0,0.0
2027,A2,0,0.0,687.3477594092351,0.0,0.0
2027,A3,0,0.0,748.1157208360598,0.0,0.0
2027,A4,1,1.0,760.2333858114805,760.23,1428.65
2027,A5,1,1.0,787.9804437489253,787.98,1406.35
2027,A6,0,0.0,795.3959793730693,0.0,0.0
2027,A7,1,1.0,800.0,800.0,1560.0
2027,A8,1,1.0,799.4532208742894,799.45,1438.47
2027,A9,1,1.15,800.0,920.0,1551.0
2027,A10,1,1.0,800.0,800.0,1390.0
2028,A1,0,0.0,687.6029776844368,0.0,0.0
2028,A2,0,0.0,690.465597752536,0.0,0.0
2028,A3,0,0.0,745.5764264098783,0.0,0.0
2028,A4,1,1.0,776.574038804804,776.57,1474.41
2028,A5,1,1.0,787.7987369711518,787.8,1405.84
2028,A6,1,1.12,797.0704827335372,892.72,1463.61
2028,A7,1,1.0,800.0,800.0,1560.0
2028,A8,0,0.0,800.0,0.0,0.0
2028,A9,1,1.15,800.0,920.0,1551.0
2028,A10,1,1.0,800.0,800.0,1390.0
2029,A1,0,0.0,686.6429147974957,0.0,0.0
2029,A2,0,0.0,702.5607663259846,0.0,0.0
2029,A3,0,0.0,747.5059923018239,0.0,0.0
2029,A4,1,1.0,759.440788813156,759.44,1426.43
2029,A5,1,1.0,789.7281235710186,789.73,1411.24
2029,A6,1,1.12,797.6257596497989,893.34,1465.35
2029,A7,1,1.0,800.0,800.0,1560.0
2029,A8,1,1.0,800.0,800.0,1440.0
2029,A9,0,0.0,800.0,0.0,0.0
2029,A10,1,1.0,800.0,800.0,1390.0
2030,A1,0,0.0,686.4553100253352,0.0,0.0
2030,A2,0,0.0,701.6932161566469,0.0,0.0
2030,A3,1,1.1,761.2639716690705,837.39,1364.69
2030,A4,1,1.0,764.5041425513201,764.5,1440.61
2030,A5,1,1.0,787.9816753099265,787.98,1406.35
2030,A6,1,1.12,799.2927354607746,895.21,1470.58
2030,A7,0,0.0,800.0,0.0,0.0
2030,A8,1,1.0,800.0,800.0,1440.0
2030,A9,1,1.15,800.0,920.0,1551.0
2030,A10,0,0.0,800.0,0.0,0.0
