price_scale,cost_scale,total_profit_5y,avg_yield,stability_ok
0.8,0.8,34660.12,4945.01,True
0.8,1.0,29860.12,4945.01,True
0.8,1.2,25060.12,4945.01,True
0.9,0.8,41583.1,4945.01,True
0.9,1.0,36783.1,4945.01,True
0.9,1.2,31983.1,4945.01,True
1.0,0.8,48506.13,4945.01,True
1.0,1.0,43706.13,4945.01,True
1.0,1.2,38906.13,4945.01,True
1.1,0.8,55429.14,4945.01,True
1.1,1.0,50629.14,4945.01,True
1.1,1.2,45829.14,4945.01,True
1.2,0.8,62352.16,4945.01,True
1.2,1.0,57552.16,4945.01,True
1.2,1.2,52752.16,4945.01,True
